ecotype_id,country,latitude,longitude,pop,nativename
7299,Austria,47.04,10.51,Austria-Hungary,Pi-2
7340,Czech Republic,49.1833,15.8833,Austria-Hungary,Sav-0
7372,Austria,47.0748,9.9042,Austria-Hungary,Tscha-1
7423,Czech Republic,49.2,16.6166,Austria-Hungary,Jl-2
7424,Czech Republic,49.2,16.6166,Austria-Hungary,Jl-3
7425,Czech Republic,49.2,16.6166,Austria-Hungary,Jl-4
7461,Czech Republic,49,15,Austria-Hungary,H55
7462,Czech Republic,49,15,Austria-Hungary,Je54
7520,Czech Republic,49.38,16.81,Austria-Hungary,Lp2-2
7521,Czech Republic,49.38,16.81,Austria-Hungary,Lp2-6
8235,Czech Republic,48.8,17.1,Austria-Hungary,Hod
8236,Czech Republic,49.33,15.76,Austria-Hungary,HSm
8284,Czech Republic,49.4112,16.2815,Austria-Hungary,DraII-1
8285,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIII-1
8311,Austria,47.5,11.5,Austria-Hungary,In-0
8314,Austria,47,14,Austria-Hungary,Ka-0
8365,Czech Republic,49,16,Austria-Hungary,Rak-2
8378,Czech Republic,49.49,14.24,Austria-Hungary,Sap-0
8412,Czech Republic,49.1833,15.8833,Austria-Hungary,Sav-0
461,United Kingdom,51.3,0.5,British-Isles,EM-183
466,United Kingdom,51.3,0.5,British-Isles,EM-134
4632,United Kingdom,50.4,-4.7,British-Isles,UKSW06-025
4675,United Kingdom,50.4,-4.7,British-Isles,UKSW06-070
4757,United Kingdom,50.4,-4.7,British-Isles,UKSW06-157
4758,United Kingdom,50.4,-4.7,British-Isles,UKSW06-158
4802,United Kingdom,50.4,-4.9,British-Isles,UKSW06-202
4820,United Kingdom,50.4,-4.9,British-Isles,UKSW06-220
4827,United Kingdom,50.4,-4.9,British-Isles,UKSW06-227
4862,United Kingdom,50.3,-4.9,British-Isles,UKSW06-262
4879,United Kingdom,50.3,-4.9,British-Isles,UKSW06-280
4927,United Kingdom,50.3,-4.8,British-Isles,UKSW06-329
4935,United Kingdom,50.3,-4.6,British-Isles,UKSW06-337
4980,United Kingdom,51.3,0.5,British-Isles,UKSE06-032
4997,United Kingdom,51.3,0.5,British-Isles,UKSE06-062
5056,United Kingdom,51.3,0.5,British-Isles,UKSE06-192
5106,United Kingdom,51.3,0.5,British-Isles,UKSE06-254
5116,United Kingdom,51.3,0.4,British-Isles,UKSE06-272
5122,United Kingdom,51.3,0.4,British-Isles,UKSE06-278
5133,United Kingdom,52.2,-1.7,British-Isles,UKSE06-302
5141,United Kingdom,52.2,-1.7,British-Isles,UKSE06-311
5145,United Kingdom,52.2,-1.7,British-Isles,UKSE06-315
5146,United Kingdom,52.2,-1.7,British-Isles,UKSE06-316
5158,United Kingdom,51.3,0.4,British-Isles,UKSE06-349
5159,United Kingdom,51.3,0.4,British-Isles,UKSE06-350
5160,United Kingdom,51.3,0.4,British-Isles,UKSE06-351
5175,United Kingdom,51.3,0.4,British-Isles,UKSE06-373
5202,United Kingdom,51.3,0.4,British-Isles,UKSE06-414
5207,United Kingdom,51.3,0.4,British-Isles,UKSE06-429
5232,United Kingdom,51.2,0.4,British-Isles,UKSE06-466
5245,United Kingdom,51.2,0.6,British-Isles,UKSE06-482
5264,United Kingdom,51.3,1.1,British-Isles,UKSE06-520
5282,United Kingdom,51.3,1.1,British-Isles,UKSE06-544
5285,United Kingdom,51.3,1.1,British-Isles,UKSE06-547
5292,United Kingdom,51.3,1.1,British-Isles,UKSE06-556
5299,United Kingdom,51.3,1.1,British-Isles,UKSE06-565
5310,United Kingdom,51.3,1.1,British-Isles,UKSE06-581
5322,United Kingdom,51.3,1.1,British-Isles,UKSE06-597
5331,United Kingdom,51.1,0.4,British-Isles,UKSE06-618
5335,United Kingdom,51.1,0.4,British-Isles,UKSE06-622
5337,United Kingdom,51.1,0.4,British-Isles,UKSE06-624
5339,United Kingdom,51.1,0.4,British-Isles,UKSE06-626
5341,United Kingdom,51.1,0.4,British-Isles,UKSE06-628
5350,United Kingdom,51.1,0.4,British-Isles,UKSE06-640
5364,United Kingdom,54.4,-3,British-Isles,UKNW06-019
5373,United Kingdom,54.4,-3,British-Isles,UKNW06-040
5377,United Kingdom,54.4,-3,British-Isles,UKNW06-050
5380,United Kingdom,54.4,-3,British-Isles,UKNW06-059
5381,United Kingdom,54.4,-3,British-Isles,UKNW06-060
5385,United Kingdom,54.4,-3,British-Isles,UKNW06-078
5386,United Kingdom,54.4,-3,British-Isles,UKNW06-079
5394,United Kingdom,54.4,-3,British-Isles,UKNW06-101
5398,United Kingdom,54.4,-3,British-Isles,UKNW06-105
5444,United Kingdom,54.6,-3.1,British-Isles,UKNW06-170
5450,United Kingdom,54.4,-3,British-Isles,UKNW06-178
5461,United Kingdom,54.4,-3,British-Isles,UKNW06-197
5466,United Kingdom,54.4,-3,British-Isles,UKNW06-202
5469,United Kingdom,54.4,-3,British-Isles,UKNW06-210
5494,United Kingdom,54.6,-3.3,British-Isles,UKNW06-259
5517,United Kingdom,54.6,-3.1,British-Isles,UKNW06-306
5536,United Kingdom,54.6,-3.1,British-Isles,UKNW06-355
5565,United Kingdom,54.6,-3.1,British-Isles,UKNW06-386
5582,United Kingdom,54.7,-3.4,British-Isles,UKNW06-410
5590,United Kingdom,54.7,-3.4,British-Isles,UKNW06-418
5596,United Kingdom,54.7,-3.4,British-Isles,UKNW06-425
5606,United Kingdom,54.7,-3.4,British-Isles,UKNW06-436
5628,United Kingdom,54.7,-3.4,British-Isles,UKNW06-460
5645,United Kingdom,54.4,-2.9,British-Isles,UKNW06-482
5670,United Kingdom,54.6,-3.1,British-Isles,UKNW99-010
5678,United Kingdom,54.6,-3.1,British-Isles,UKNW99-025
5709,United Kingdom,54.6,-2.6,British-Isles,UKID2
5710,United Kingdom,54.4,-3,British-Isles,UKID3
5713,United Kingdom,51.3,0.5,British-Isles,Bea-1
5715,United Kingdom,51.1,0.6,British-Isles,Bid-1
5716,United Kingdom,55.6,-3.5,British-Isles,UKID9
5717,United Kingdom,54.6,-3.2,British-Isles,Bra-1
5719,Ireland,53.0333,-9.1,British-Isles,Bur-0
5720,United Kingdom,53.3,-1.6,British-Isles,Cal-2
5721,United Kingdom,55.2,-2,British-Isles,UKID14
5722,United Kingdom,51.2,1,British-Isles,UKID15
5723,United Kingdom,51.3,1,British-Isles,Chr-1
5724,United Kingdom,51.4,0.1,British-Isles,UKID17
5728,United Kingdom,51.3,1.1,British-Isles,UKID21
5729,United Kingdom,54.7,-3.4,British-Isles,Coc-1
5731,United Kingdom,54.9,-2.9,British-Isles,Crl-1
5732,United Kingdom,54.9,-2.9,British-Isles,UKID25
5735,United Kingdom,52.3,-1.7,British-Isles,UKID28
5736,United Kingdom,51.3,0.5,British-Isles,Ema-1
